contract,bug_type,llm_line,truth_line,diff
buggy_5.sol,TOD,50,51,-1
buggy_29.sol,TOD,32,34,-2
buggy_29.sol,TOD,32,34,-2
buggy_29.sol,TOD,32,34,-2
buggy_29.sol,TOD,32,34,-2
buggy_45.sol,TOD,42,42,0
buggy_45.sol,TOD,42,42,0
buggy_45.sol,TOD,102,104,-2
buggy_33.sol,TOD,42,42,0
buggy_33.sol,TOD,43,42,1
buggy_33.sol,TOD,58,60,-2
buggy_33.sol,TOD,59,60,-1
buggy_33.sol,TOD,88,87,1
buggy_33.sol,TOD,89,87,2
buggy_37.sol,TOD,162,164,-2
buggy_37.sol,TOD,163,164,-1
buggy_20.sol,TOD,45,47,-2
buggy_20.sol,TOD,47,47,0
buggy_20.sol,TOD,68,70,-2
buggy_20.sol,TOD,70,70,0
buggy_21.sol,TOD,5,5,0
buggy_7.sol,TOD,42,42,0
buggy_7.sol,TOD,43,42,1
buggy_7.sol,TOD,136,137,-1
buggy_19.sol,TOD,84,84,0
buggy_19.sol,TOD,114,113,1
buggy_13.sol,TOD,13,13,0
buggy_47.sol,TOD,209,211,-2
buggy_47.sol,TOD,607,606,1
buggy_5.sol,tx.origin,12,14,-2
buggy_4.sol,tx.origin,30,29,1
buggy_4.sol,tx.origin,34,34,0
buggy_4.sol,tx.origin,40,38,2
buggy_4.sol,tx.origin,42,43,-1
buggy_4.sol,tx.origin,45,43,2
buggy_4.sol,tx.origin,48,48,0
buggy_4.sol,tx.origin,60,58,2
buggy_22.sol,tx.origin,42,43,-1
buggy_22.sol,tx.origin,43,43,0
buggy_22.sol,tx.origin,44,43,1
buggy_22.sol,tx.origin,45,43,2
buggy_22.sol,tx.origin,51,53,-2
buggy_22.sol,tx.origin,52,53,-1
buggy_22.sol,tx.origin,53,53,0
buggy_22.sol,tx.origin,54,53,1
buggy_22.sol,tx.origin,55,53,2
buggy_22.sol,tx.origin,59,61,-2
buggy_22.sol,tx.origin,60,61,-1
buggy_49.sol,tx.origin,6,8,-2
buggy_49.sol,tx.origin,7,8,-1
buggy_43.sol,tx.origin,12,10,2
buggy_43.sol,tx.origin,34,36,-2
buggy_42.sol,tx.origin,10,8,2
buggy_42.sol,tx.origin,16,14,2
buggy_42.sol,tx.origin,20,20,0
buggy_39.sol,tx.origin,12,14,-2
buggy_39.sol,tx.origin,40,40,0
buggy_39.sol,tx.origin,58,56,2
buggy_44.sol,tx.origin,10,10,0
buggy_44.sol,tx.origin,31,30,1
buggy_44.sol,tx.origin,36,35,1
buggy_44.sol,tx.origin,40,41,-1
buggy_33.sol,tx.origin,12,14,-2
buggy_10.sol,tx.origin,7,8,-1
buggy_10.sol,tx.origin,9,8,1
buggy_10.sol,tx.origin,12,13,-1
buggy_10.sol,tx.origin,23,23,0
buggy_10.sol,tx.origin,28,28,0
buggy_8.sol,tx.origin,12,14,-2
buggy_8.sol,tx.origin,10,8,2
buggy_8.sol,tx.origin,14,14,0
buggy_8.sol,tx.origin,8,8,0
buggy_9.sol,tx.origin,85,83,2
buggy_9.sol,tx.origin,98,99,-1
buggy_9.sol,tx.origin,106,106,0
buggy_9.sol,tx.origin,109,111,-2
buggy_9.sol,tx.origin,124,124,0
buggy_9.sol,tx.origin,168,168,0
buggy_41.sol,tx.origin,30,31,-1
buggy_20.sol,tx.origin,44,46,-2
buggy_20.sol,tx.origin,45,46,-1
buggy_20.sol,tx.origin,46,46,0
buggy_20.sol,tx.origin,47,46,1
buggy_20.sol,tx.origin,48,46,2
buggy_20.sol,tx.origin,58,60,-2
buggy_20.sol,tx.origin,59,60,-1
buggy_20.sol,tx.origin,60,60,0
buggy_15.sol,tx.origin,17,17,0
buggy_15.sol,tx.origin,21,21,0
buggy_15.sol,tx.origin,40,38,2
buggy_6.sol,tx.origin,10,9,1
buggy_6.sol,tx.origin,15,14,1
buggy_50.sol,tx.origin,28,29,-1
buggy_27.sol,tx.origin,62,63,-1
buggy_27.sol,tx.origin,100,99,1
buggy_27.sol,tx.origin,108,107,1
buggy_13.sol,tx.origin,23,21,2
buggy_13.sol,tx.origin,28,27,1
buggy_13.sol,tx.origin,40,38,2
buggy_47.sol,tx.origin,42,40,2
buggy_47.sol,tx.origin,24,23,1
buggy_46.sol,tx.origin,21,19,2
buggy_46.sol,tx.origin,47,46,1
buggy_16.sol,Timestamp-Dependency,78,77,1
buggy_16.sol,Timestamp-Dependency,140,138,2
buggy_16.sol,Timestamp-Dependency,168,169,-1
buggy_16.sol,Timestamp-Dependency,182,184,-2
buggy_16.sol,Timestamp-Dependency,196,195,1
buggy_16.sol,Timestamp-Dependency,220,220,0
buggy_16.sol,Timestamp-Dependency,240,238,2
buggy_5.sol,Timestamp-Dependency,97,96,1
buggy_4.sol,Timestamp-Dependency,28,29,-1
buggy_4.sol,Timestamp-Dependency,30,29,1
buggy_22.sol,Timestamp-Dependency,15,17,-2
buggy_22.sol,Timestamp-Dependency,16,17,-1
buggy_22.sol,Timestamp-Dependency,38,38,0
buggy_49.sol,Timestamp-Dependency,13,15,-2
buggy_49.sol,Timestamp-Dependency,23,25,-2
buggy_49.sol,Timestamp-Dependency,25,25,0
buggy_49.sol,Timestamp-Dependency,31,29,2
buggy_49.sol,Timestamp-Dependency,38,37,1
buggy_49.sol,Timestamp-Dependency,42,44,-2
buggy_49.sol,Timestamp-Dependency,54,55,-1
buggy_49.sol,Timestamp-Dependency,62,60,2
buggy_42.sol,Timestamp-Dependency,25,23,2
buggy_42.sol,Timestamp-Dependency,207,205,2
buggy_39.sol,Timestamp-Dependency,42,44,-2
buggy_39.sol,Timestamp-Dependency,43,44,-1
buggy_44.sol,Timestamp-Dependency,10,10,0
buggy_44.sol,Timestamp-Dependency,20,18,2
buggy_44.sol,Timestamp-Dependency,30,29,1
buggy_44.sol,Timestamp-Dependency,40,39,1
buggy_45.sol,Timestamp-Dependency,25,25,0
buggy_45.sol,Timestamp-Dependency,14,15,-1
buggy_11.sol,Timestamp-Dependency,36,35,1
buggy_11.sol,Timestamp-Dependency,48,50,-2
buggy_11.sol,Timestamp-Dependency,60,60,0
buggy_2.sol,Timestamp-Dependency,14,15,-1
buggy_2.sol,Timestamp-Dependency,28,30,-2
buggy_2.sol,Timestamp-Dependency,20,20,0
buggy_2.sol,Timestamp-Dependency,36,36,0
buggy_2.sol,Timestamp-Dependency,40,42,-2
buggy_3.sol,Timestamp-Dependency,15,15,0
buggy_3.sol,Timestamp-Dependency,16,15,1
buggy_3.sol,Timestamp-Dependency,47,46,1
buggy_8.sol,Timestamp-Dependency,9,8,1
buggy_9.sol,Timestamp-Dependency,72,73,-1
buggy_9.sol,Timestamp-Dependency,80,80,0
buggy_9.sol,Timestamp-Dependency,84,84,0
buggy_9.sol,Timestamp-Dependency,92,90,2
buggy_9.sol,Timestamp-Dependency,96,96,0
buggy_9.sol,Timestamp-Dependency,104,106,-2
buggy_41.sol,Timestamp-Dependency,34,34,0
buggy_41.sol,Timestamp-Dependency,15,17,-2
buggy_41.sol,Timestamp-Dependency,48,46,2
buggy_37.sol,Timestamp-Dependency,29,30,-1
buggy_37.sol,Timestamp-Dependency,36,37,-1
buggy_37.sol,Timestamp-Dependency,32,30,2
buggy_36.sol,Timestamp-Dependency,42,44,-2
buggy_36.sol,Timestamp-Dependency,43,44,-1
buggy_36.sol,Timestamp-Dependency,44,44,0
buggy_36.sol,Timestamp-Dependency,45,44,1
